comid,gnis_name_shapefile,name,name_source,gnis_id,gnis_name_raw,gnis_class,gnis_state,n_candidates,distance_m,alternatives
17833136,Cochiti Lake,Cochiti Lake,shapefile,918158,Cochiti Lake,Reservoir,New Mexico,1,1976.7,
3222367,Caballo Reservoir,Caballo Reservoir,shapefile,887043,Caballo Reservoir,Reservoir,New Mexico,1,1248.8,
120052275,Amistad Reservoir,Amistad Reservoir,shapefile,,,,,0,,
120052274,Amistad Reservoir,Amistad Reservoir,shapefile,1377189,Walk Lake,Lake,Texas,1,5272.6,
20814160,,Storrie Lake,gnis_inside,911442,Storrie Lake,Reservoir,New Mexico,1,154.9,
20818104,,"Sumner, Lake",gnis_inside,900275,Lake Sumner,Reservoir,New Mexico,1,2515.2,
20756596,Balmorhea Lake,Balmorhea Lake,shapefile,1351475,Balmorhea Lake,Reservoir,Texas,1,341.6,
3210503,Red Bluff Reservoir,Red Bluff Reservoir,shapefile,1366124,Red Bluff Reservoir,Reservoir,Texas,1,450.9,
3213047,Imperial Reservoir,Imperial Reservoir,shapefile,1359900,Imperial Reservoir,Reservoir,Texas,1,166.3,
120051895,Paz Ramirez Lake,Paz Ramirez Lake,shapefile,1854285,International Falcon Lake,Reservoir,Texas,1,25532.4,
10467373,,"Drummond, Lake",gnis_inside,1478508,Lake Drummond,Lake,Virginia,1,129.4,
120052343,Roanoke Rapids Lake,Roanoke Rapids Lake,shapefile,985605,Lake Gaston,Reservoir,North Carolina,1,3265.2,
120053465,Smith Mountain Lake,Smith Mountain Lake,shapefile,1502131,Smith Mountain Lake,Reservoir,Virginia,1,10198.3,
10482573,Phelps Lake,Phelps Lake,shapefile,992118,Phelps Lake,Lake,North Carolina,1,338.1,
10482587,New Lake,New Lake,shapefile,,,,,0,,
120053587,Roanoke Rapids Lake,Roanoke Rapids Lake,shapefile,993420,Roanoke Rapids Lake,Reservoir,North Carolina,1,3178.0,
167496465,,John H. Kerr Reservoir,gnis_near,1501629,John H. Kerr Reservoir,Reservoir,Virginia,1,43.2,
10960658,Catfish Lake,Catfish Lake,shapefile,1010099,Catfish Lake,Lake,North Carolina,1,176.0,
1966751,Pungo Lake,Pungo Lake,shapefile,992909,Pungo Lake,Lake,North Carolina,1,270.7,
10977481,Little Lake,Little Lake,shapefile,1012983,Little Lake,Lake,North Carolina,1,70.3,
10960672,Great Lake,Great Lake,shapefile,1011689,Great Lake,Lake,North Carolina,1,132.4,
166755033,Lake Mattamuskeet,Lake Mattamuskeet,shapefile,989469,Lake Mattamuskeet,Lake,North Carolina,1,259.7,
166755034,,,none,,,,,0,,
166755049,Long Lake,Long Lake,shapefile,1013161,Long Lake,Lake,North Carolina,1,67.3,
166737717,,Brinkley Lake,gnis_inside,1000009,Brinkley Lake,Reservoir,North Carolina,2,138.6,Wakefield Pond Number One
8842671,,Shearon Harris Reservoir,gnis_inside,1024879,Shearon Harris Reservoir,Lake,North Carolina,1,3484.7,
8813673,,Bay Tree Lake,gnis_inside,981534,Bay Tree Lake,Lake,North Carolina,1,95.8,
8830400,Little Singletary Lake,Little Singletary Lake,shapefile,988775,Little Singletary Lake,Lake,North Carolina,1,39.5,
8813789,,Singletary Lake,gnis_inside,994864,Singletary Lake,Reservoir,North Carolina,1,40.1,
8830560,,White Lake,gnis_inside,997140,White Lake,Lake,North Carolina,1,90.7,
166755060,,Seaforth Lake,gnis_inside,994455,Seaforth Lake,Lake,North Carolina,2,2367.3,B. Everett Jordan Lake
9211452,Lake Tillery,Lake Tillery,shapefile,1024351,Lake Tillery,Reservoir,North Carolina,1,10041.6,
9210308,,,none,,,,,0,,
9062944,"Waccamaw, Lake","Waccamaw, Lake",shapefile,996653,Lake Waccamaw,Lake,North Carolina,1,183.2,
166737840,,High Rock Lake,gnis_inside,1023730,High Rock Lake,Reservoir,North Carolina,3,7319.1,Tuckertown Reservoir; Badin Lake
9737130,,Wateree Lake,gnis_inside,1227425,Wateree Lake,Reservoir,South Carolina,1,1472.4,
9706820,Monticello Reservoir,Monticello Reservoir,shapefile,1230561,Monticello Reservoir,Reservoir,South Carolina,1,369.7,
9736024,,Fishing Creek Reservoir,gnis_inside,1247757,Fishing Creek Reservoir,Reservoir,South Carolina,5,1273.7,Great Falls Reservoir; Great Falls-Dearborn Reservoir; Cedar Creek Reservoir
9869110,Lake Murray,Lake Murray,shapefile,1224900,Lake Murray,Reservoir,South Carolina,1,5605.9,
166756415,Lake Norman,Lake Norman,shapefile,991183,Lake Norman,Reservoir,North Carolina,3,7494.5,Lookout Shoals Lake; Lake Lookout
166756493,,"Greenwood, Lake",gnis_inside,1237668,Lake Greenwood,Reservoir,South Carolina,2,3608.0,Lake Greenwood
166756746,Lib Pines Lake,Lib Pines Lake,shapefile,1235895,Brown Lake (historical),Lake,South Carolina,9,1650.7,Scotts Lake (historical); Polly Cantey Pond; Prince Pond (historical)
166756781,Lake Moultrie,Lake Moultrie,shapefile,1230046,Lake Moultrie,Reservoir,South Carolina,1,103.6,
120053586,,,none,,,,,0,,
12038373,,,none,,,,,0,,
120053566,Lake Jocassee,Lake Jocassee,shapefile,1230532,Lake Jocassee,Reservoir,South Carolina,1,1308.4,
166759840,,,none,,,,,0,,
166759841,,Hartwell Lake,gnis_inside,356215,Hartwell Lake,Reservoir,Georgia,2,6038.3,Yonah Lake
167484062,,J. Strom Thurmond Reservoir,gnis_inside,335836,J. Strom Thurmond Reservoir,Reservoir,Georgia,1,814.0,
167484077,,Francis Lake,gnis_near,340085,Francis Lake,Reservoir,Georgia,1,29.9,
11748535,,"Keowee, Lake",gnis_inside,1238598,Lake Keowee,Reservoir,South Carolina,5,2892.6,McMahons Mill Pond (historical); Webb Lake; Seneca Reservoir
6339936,,"Tobesofkee, Lake",gnis_inside,336170,Lake Tobesofkee,Reservoir,Georgia,1,2564.2,
16661857,Georges Lake,Georges Lake,shapefile,283032,Georges Lake,Lake,Florida,1,144.5,
16642706,"Lowery, Lake","Lowery, Lake",shapefile,286180,Lake Lowery,Lake,Florida,1,100.2,
16636112,,"Griffin, Lake",gnis_inside,305765,Lake Griffin,Lake,Florida,1,4033.7,
16632718,"Minneola, Lake","Minneola, Lake",shapefile,294087,Lake Minneola,Lake,Florida,1,142.2,
10996843,"Ashby, Lake","Ashby, Lake",shapefile,277968,Lake Ashby,Lake,Florida,1,486.0,
16636168,,"Harris, Lake",gnis_inside,294031,Lake Harris,Lake,Florida,2,1989.5,Little Lake Harris
10993179,"Jesup, Lake","Jesup, Lake",shapefile,295793,Lake Jesup,Lake,Florida,1,3184.5,
166757602,Crescent Lake,Crescent Lake,shapefile,281036,Crescent Lake,Lake,Florida,2,1299.1,Dead Lake
166757574,Right Arm Lochloosa Lake,Right Arm Lochloosa Lake,shapefile,294060,Lochloosa Lake,Lake,Florida,3,1591.9,Little Lochloosa Lake; Right Arm Lochloosa Lake
166757578,,"Weir, Lake",gnis_inside,306567,Lake Weir,Lake,Florida,2,185.9,Little Lake Weir
166757576,Lake Ocklawaha,Lake Ocklawaha,shapefile,,,,,0,,
166757600,,Lowry Lake,gnis_inside,308453,Lowry Lake,Lake,Florida,1,60.6,
166757573,Orange Lake,Orange Lake,shapefile,288216,Orange Lake,Lake,Florida,1,1894.2,
166757596,Swan Lake,Swan Lake,shapefile,291925,Swan Lake,Lake,Florida,1,290.0,
10998421,Lake Washington,Lake Washington,shapefile,292914,Lake Washington,Lake,Florida,1,423.3,
10996865,"Monroe, Lake","Monroe, Lake",shapefile,287074,Lake Monroe,Lake,Florida,1,337.9,
10988693,,Little Lake Kerr,gnis_inside,305964,Little Lake Kerr,Lake,Florida,1,3039.0,
10988775,"George, Lake","George, Lake",shapefile,305722,Lake George,Lake,Florida,1,28.7,
